date,delay,distance
01010001,14,405
01010530,-11,370
01010540,5,389
01010600,-5,337
01010600,3,303
01010605,5,236
01010610,-4,405
01010615,-2,188
01010615,0,197
01010615,0,399
01010615,5,562
01010620,-5,358
01010620,0,491
01010625,-6,361
01010625,0,313
01010625,1,271
01010625,5,689
01010630,-1,487
01010630,-10,399
01010630,-15,621
01010630,-2,361
01010630,-3,220
01010630,-3,397
01010630,-8,251
01010630,-8,417
01010630,1,682
01010630,10,370
01010630,15,177
01010630,2,562
01010635,0,453
01010635,1,601
01010635,2,670
01010635,9,677
01010640,-21,777
01010640,-8,197
01010640,3,833
01010640,5,495
01010645,-14,423
01010645,-14,605
01010645,-19,838
01010645,-5,223
01010645,-5,296
01010645,5,405
01010645,9,460
01010647,17,293
01010650,20,570
01010650,7,588
01010653,16,590
01010655,-19,1797
01010655,-28,1864
01010700,-10,1481
01010700,-10,361
01010700,-28,1235
01010700,-3,256
01010700,-3,588
01010700,-4,423
01010700,-4,612
01010700,-5,1090
01010700,-5,296
01010700,-5,369
01010700,-5,407
01010700,-6,325
01010700,-7,236
01010700,0,223
01010700,0,303
01010700,1,358
01010700,12,550
01010700,17,284
01010700,4,307
01010704,-2,457
01010705,-1,471
01010705,-10,443
01010705,-15,677
01010705,-18,1246
01010705,-5,188
01010705,-9,386
01010705,0,588
01010705,13,365
01010705,4,1072
01010705,7,967
01010706,-5,303
01010708,-14,765
01010710,-15,1959
01010710,-26,2277
01010710,-31,1599
01010710,-8,251
01010710,0,1506
01010710,2,842
01010715,-12,515
01010715,-13,1076
01010715,-2,447
01010715,-25,2106
01010715,-3,405
01010715,-3,546
01010715,-7,386
01010715,24,938
01010720,-13,1489
01010720,-20,632
01010720,-5,446
01010720,-8,762
01010720,13,479
01010725,-12,852
01010725,-8,935
01010725,4,294
01010730,-2,192
01010730,-3,1591
01010730,-3,284
01010730,-7,288
01010730,0,308
01010730,25,928
01010730,4,410
01010730,6,673
01010730,8,448
01010733,-17,967
01010733,-3,281
01010735,-10,229
01010735,-13,251
01010735,-25,440
01010735,-3,181
01010735,-5,1497
01010735,-5,304
01010735,23,377
01010735,6,1011
01010735,8,345
01010738,5,370
01010740,-10,303
01010740,-11,718
01010740,-15,325
01010740,-15,793
01010740,-17,1448
01010740,-2,294
01010740,-2,347
01010740,-25,1521
01010740,-6,587
01010740,-7,229
01010740,-7,351
01010740,0,248
01010744,10,308
01010745,-2,223
01010745,-6,904
01010745,0,283
01010745,2,507
01010745,5,487
01010745,9,395
01010750,-12,646
01010750,-2,256
01010750,-5,367
01010750,-8,351
01010750,-8,369
01010750,4,1455
01010753,-5,1363
01010755,-10,419
01010755,19,284
01010755,4,587
01010755,6,321
01010757,-2,1814
01010757,-3,689
01010800,-10,1162
01010800,-10,337
01010800,-10,671
01010800,-10,989
01010800,-11,237
01010800,-13,843
01010800,-13,998
01010800,-19,787
01010800,-3,1073
01010800,-3,197
01010800,-3,407
01010800,-4,239
01010800,-4,337
01010800,-5,325
01010800,-5,462
01010800,-6,1037
01010800,-6,972
01010800,0,342
01010800,0,358
01010800,0,612
01010800,12,358
01010800,13,389
01010800,9,1797
01010800,9,437
01010805,-1,304
01010805,-1,345
01010805,-13,989
01010805,-14,727
01010805,-2,325
01010805,-4,314
01010805,-7,405
01010805,-8,822
01010805,25,1448
01010805,7,457
01010807,10,189
01010810,-12,447
01010810,-7,197
01010810,0,714
01010810,5,484
01010815,-10,223
01010815,-17,1999
01010815,-24,1751
01010815,-3,677
01010815,-5,386
01010815,-7,1140
01010815,5,223
01010815,8,1588
01010815,8,321
01010817,13,303
01010820,-14,1262
01010820,-3,1020
01010820,-31,1234
01010820,-5,422
01010820,-5,550
01010820,-9,197
01010820,8,405
01010821,10,236
01010823,-7,646
01010825,-2,188
01010825,-3,296
01010825,-5,1044
01010825,-7,304
01010825,5,1588
01010825,5,368
01010830,-10,440
01010830,-2,580
01010830,-5,802
01010830,-7,239
01010830,-7,255
01010830,-8,370
01010830,0,370
01010830,0,446
01010830,31,758
01010835,-1,291
01010835,-13,347
01010835,-14,1099
01010835,-14,405
01010835,-2,325
01010835,-3,611
01010835,-8,325
01010835,0,480
01010835,5,605
01010838,-3,888
01010838,14,937
01010840,-11,1444
01010840,-12,303
01010840,-22,1236
01010840,-5,180
01010840,-6,479
01010840,6,1142
01010845,-10,1624
01010845,-10,777
01010845,-15,217
01010845,-17,925
01010845,-4,178
01010845,-5,1090
01010845,-5,148
01010845,-7,296
01010845,0,279
01010845,0,588
01010845,1,323
01010845,14,1407
01010845,2,889
01010845,27,368
01010846,2,397
01010848,7,423
01010850,-20,621
01010850,-8,236
01010850,-8,520
01010850,0,453
01010850,10,325
01010850,18,765
01010855,3,405
01010855,4,838
01010855,7,220
01010900,-10,337
01010900,-11,256
01010900,-12,544
01010900,-3,480
01010900,-4,246
01010900,-4,288
01010900,-5,236
01010900,-8,628
01010900,0,1034
01010900,0,389
01010900,13,484
01010900,22,181
01010900,42,1999
01010900,5,370
01010900,8,303
01010903,3,697
01010903,5,395
01010904,-5,1069
01010905,-1,148
01010905,-1,254
01010905,-12,628
01010905,-2,192
01010905,-22,687
01010905,-26,697
01010905,-5,487
01010905,6,759
01010908,3,370
01010909,31,236
01010910,-1,1442
01010910,-10,487
01010910,-18,304
01010910,-2,304
01010910,-2,371
01010910,-23,1671
01010910,-4,347
01010910,-8,361
01010910,0,1235
01010913,0,444
01010913,0,451
01010913,12,666
01010915,-10,308
01010915,-4,189
01010915,-5,276
01010915,-5,333
01010915,-7,410
01010915,-8,651
01010915,-9,440
01010915,4,296
01010918,9,570
01010920,-1,283
01010920,-2,325
01010920,-5,446
01010920,-7,588
01010920,0,407
01010920,2,543
01010922,4,937
01010924,14,2106
01010925,-1,180
01010925,-13,281
01010925,-17,1489
01010925,-23,1073
01010925,-27,1977
01010925,-4,237
01010925,-7,288
01010925,3,303
01010925,4,358
01010925,5,487
01010930,-10,325
01010930,-12,239
01010930,-16,1137
01010930,-2,1044
01010930,-2,1751
01010930,-5,239
01010930,-5,370
01010930,-6,1140
01010930,-8,369
01010930,-9,670
01010930,0,281
01010930,12,314
01010930,2,935
01010930,3,405
01010930,8,580
01010933,13,283
01010935,-4,762
01010935,-5,236
01010935,0,682
01010935,3,471
01010935,5,371
01010937,13,829
01010938,-4,671
01010938,8,1242
01010939,18,513
01010939,36,1751
01010940,-10,328
01010940,-3,223
01010940,-6,307
01010940,-7,1772
01010940,0,325
01010940,0,612
01010941,-3,188
01010942,16,632
01010945,-10,303
01010945,-18,1301
01010945,-2,296
01010945,-21,632
01010945,-25,1489
01010945,-5,1479
01010945,-5,180
01010945,-8,419
01010945,0,293
01010945,10,291
01010945,4,663
01010945,7,907
01010946,8,1137
01010947,6,319
01010948,27,479
01010948,3,1301
01010948,7,590
01010950,-10,325
01010950,-12,1588
01010950,-12,601
01010950,-21,1448
01010950,-28,1618
01010950,-5,304
01010950,-5,462
01010950,-5,520
01010950,6,324
01010953,18,687
01010954,4,223
01010955,-15,714
01010955,-19,1363
01010955,-3,1107
01010955,-7,446
01010955,-7,647
01010955,-7,775
01010955,0,842
01010955,1,828
01010955,77,279
01010956,13,515
01011000,-1,687
01011000,-10,605
01011000,-10,677
01011000,-11,513
01011000,-15,337
01011000,-2,223
01011000,-5,1521
01011000,-5,397
01011000,-6,369
01011000,0,229
01011000,0,236
01011000,10,1501
01011000,5,727
01011000,9,888
01011003,18,630
01011005,-1,229
01011005,-5,197
01011005,-7,584
01011005,-9,217
01011006,-12,1670
01011008,16,256
01011010,-1,507
01011010,-2,422
01011010,-21,569
01011010,-3,342
01011010,-3,361
01011010,-5,636
01011010,-6,251
01011010,-6,386
01011010,0,341
01011010,18,588
01011010,2,303
01011015,-5,178
01011015,-5,373
01011015,-6,528
01011015,-8,1262
01011015,12,1040
01011015,5,417
01011015,8,370
01011016,6,220
01011016,7,237
01011017,12,181
01011020,-15,1140
01011020,-20,1552
01011020,-3,833
01011020,-6,255
01011020,-6,389
01011020,-8,1069
01011020,16,370
01011020,2,1099
01011020,45,1262
01011021,19,337
01011024,-2,1037
01011025,-1,237
01011025,-10,889
01011025,-2,397
01011025,-2,480
01011025,-3,389
01011025,-5,288
01011025,-5,328
01011025,-8,359
01011028,3,308
01011029,15,802
01011030,-13,708
01011030,-2,239
01011030,-3,337
01011030,-4,180
01011030,-5,271
01011030,-7,1444
01011030,-8,239
01011030,-9,281
01011030,-9,370
01011030,0,370
01011030,1,223
01011030,14,564
01011030,5,1044
01011030,5,258
01011030,8,296
01011035,-10,1262
01011035,-6,325
01011035,2,296
01011035,7,480
01011039,5,337
01011040,-1,188
01011040,-12,313
01011040,-21,1011
01011040,-4,325
01011040,-6,328
01011040,-7,588
01011040,2,447
01011040,5,325
01011040,8,345
01011042,-5,236
01011044,-14,1180
01011045,-20,1164
01011045,-3,258
01011045,-3,345
01011045,-5,248
01011045,0,181
01011045,14,446
01011045,3,1588
01011045,5,543
01011047,-4,325
01011048,24,303
01011048,4,612
01011050,-2,395
01011050,-3,621
01011050,0,562
01011050,18,580
01011050,7,304
01011052,8,192
01011052,8,223
01011055,-10,796
01011055,-2,342
01011055,-3,296
01011055,-5,256
01011055,-5,460
01011055,0,288
01011055,0,866
01011055,5,925
01011055,9,223
01011057,-9,440
01011057,6,333
01011058,-2,229
01011100,-10,405
01011100,-13,337
01011100,-23,451
01011100,-5,148
01011100,-5,487
01011100,-5,671
01011100,-7,239
01011100,-7,284
01011100,-7,393
01011100,0,332
01011100,11,224
01011100,19,1050
01011101,-5,180
01011104,10,714
01011104,4,453
01011104,5,493
01011105,-1,321
01011105,-3,347
01011105,-4,447
01011105,-5,197
01011105,-5,564
01011105,-7,369
01011105,0,341
01011105,5,636
01011106,-29,1912
01011107,29,919
01011110,-12,251
01011110,-2,612
01011110,-4,507
01011110,-6,1020
01011110,0,337
01011110,3,256
01011110,4,287
01011110,50,291
01011110,69,723
01011113,12,1073
01011113,6,351
01011115,-1,562
01011115,-2,687
01011115,-5,677
01011115,-8,451
01011115,12,189
01011115,14,239
01011115,18,325
01011115,30,787
01011117,5,859
01011119,-5,651
01011120,-1,248
01011120,-12,236
01011120,-15,487
01011120,-18,1363
01011120,-20,601
01011120,-4,187
01011120,-5,528
01011120,-7,457
01011120,10,1246
01011121,11,369
01011123,-2,386
01011124,-15,399
01011125,-5,303
01011125,-6,1797
01011125,-7,444
01011125,12,307
01011125,12,496
01011125,8,361
01011125,9,368
01011128,13,611
01011128,25,580
01011130,-1,328
01011130,-13,687
01011130,-2,328
01011130,-2,440
01011130,-20,1999
01011130,-3,370
01011130,-4,271
01011130,-8,1342
01011130,-8,308
01011130,0,148
01011130,0,239
01011130,0,239
01011130,0,256
01011130,0,359
01011130,2,1848
01011133,59,405
01011134,9,446
01011135,-1,318
01011135,-1,666
01011135,-12,410
01011135,-20,1040
01011135,0,787
01011135,3,775
01011135,5,283
01011136,43,108
01011138,6,342
01011138,8,471
01011139,24,630
01011140,-1,395
01011140,-13,405
01011140,-2,351
01011140,-27,1671
01011140,-4,296
01011140,-5,314
01011140,-6,237
01011140,-7,1333
01011140,-7,258
01011140,0,371
01011140,0,677
01011142,-8,671
01011145,-12,843
01011145,-2,389
01011145,-2,407
01011145,-4,371
01011145,-5,319
01011145,-5,443
01011145,-6,397
01011145,-7,670
01011145,12,276
01011145,15,251
01011145,7,284
01011147,-1,288
01011150,-10,677
01011150,-10,997
01011150,-11,1489
01011150,-2,220
01011150,-3,304
01011150,-3,345
01011150,2,181
01011150,2,325
01011150,5,1444
01011150,5,1479
01011150,5,423
01011152,18,543
01011154,23,647
01011154,7,1407
01011155,-2,303
01011155,-5,277
01011155,-9,229
01011155,-9,296
01011155,13,487
01011155,23,588
01011155,5,417
01011155,8,304
01011156,-2,967
01011156,36,325
01011200,-11,1107
01011200,-3,239
01011200,-3,495
01011200,-32,972
01011200,-4,281
01011200,-5,188
01011200,-5,605
01011200,-6,714
01011200,-7,224
01011200,-7,325
01011200,-7,397
01011200,0,197
01011200,0,373
01011200,11,419
01011203,5,1999
01011205,-5,1235
01011205,-5,223
01011205,-5,373
01011205,0,1099
01011205,29,723
01011205,7,239
01011205,9,1073
01011206,-6,337
01011206,0,337
01011206,6,236
01011208,4,303
01011210,-10,718
01011210,-11,872
01011210,-4,325
01011210,-4,390
01011210,-5,192
01011210,-5,611
01011210,-9,663
01011210,0,389
01011210,14,1156
01011210,18,663
01011210,4,833
01011210,47,584
01011212,2,325
01011212,5,689
01011213,2,1140
01011215,-12,1242
01011215,-2,279
01011215,-4,616
01011215,0,251
01011215,0,293
01011215,2,180
01011215,2,377
01011215,6,258
01011215,6,478
01011215,8,1069
01011216,43,370
01011218,11,258
01011218,25,487
01011220,-1,293
01011220,-22,1455
01011220,-3,496
01011220,-7,296
01011220,0,1142
01011220,0,229
01011220,0,236
01011220,12,223
01011220,15,407
01011220,3,708
01011220,7,187
01011221,18,543
01011222,-4,938
01011223,45,368
01011225,-1,296
01011225,-10,1034
01011225,-10,569
01011225,-20,842
01011225,-3,333
01011225,-5,803
01011225,12,256
01011225,20,347
01011225,4,446
01011225,5,480
01011225,8,273
01011228,38,108
01011230,-15,989
01011230,-3,148
01011230,-3,239
01011230,-4,236
01011230,-4,239
01011230,-44,2237
01011230,-7,714
01011230,10,255
01011230,2,395
01011230,3,342
01011230,5,345
01011230,5,803
01011230,6,370
01011230,8,697
01011230,9,197
01011232,12,197
01011232,23,1044
01011235,-2,636
01011235,-2,829
01011235,-22,687
01011235,-5,321
01011235,-5,570
01011235,-6,1164
01011235,0,1797
01011237,10,1262
01011238,0,737
01011238,31,361
01011239,-2,251
01011240,-6,564
01011240,10,447
01011240,3,484
01011240,4,229
01011240,5,1977
01011243,21,587
01011245,-2,192
01011245,-2,248
01011245,-3,223
01011245,-4,217
01011245,-5,628
01011245,-8,759
01011245,0,1072
01011245,0,1137
01011245,0,1301
01011245,10,189
01011245,12,601
01011245,5,479
01011245,8,423
01011248,16,347
01011249,1,828
01011250,-8,487
01011250,0,344
01011250,5,276
01011251,-9,611
01011252,14,358
01011253,23,480
01011254,15,869
01011255,-1,447
01011255,11,304
01011255,4,446
01011255,40,628
01011255,5,1751
01011258,13,843
01011300,-1,666
01011300,-10,217
01011300,-3,345
01011300,-3,361
01011300,-6,239
01011300,-6,337
01011300,0,239
01011300,0,580
01011300,1,308
01011300,4,328
01011300,5,1069
01011300,7,762
01011303,-2,361
01011303,15,178
01011304,0,590
01011304,10,935
01011304,40,256
01011305,-11,1489
01011305,-5,651
01011305,-8,369
01011305,19,1262
01011308,9,370
01011310,-10,288
01011310,-2,307
01011310,-20,1210
01011310,-3,256
01011310,-5,967
01011310,-6,276
01011310,-6,319
01011310,0,296
01011310,10,386
01011310,4,342
01011312,36,852
01011312,7,370
01011315,-11,220
01011315,-13,453
01011315,-2,507
01011315,-25,1136
01011315,-3,308
01011315,-5,258
01011315,-5,318
01011315,-5,338
01011315,-7,689
01011315,-8,550
01011315,0,223
01011315,22,632
01011315,5,237
01011315,7,333
01011317,71,313
01011318,45,370
01011319,-8,1020
01011320,-10,487
01011320,-13,677
01011320,-5,484
01011320,0,197
01011320,0,303
01011320,10,405
01011320,15,369
01011320,4,283
01011320,9,588
01011322,-1,224
01011325,-20,671
01011325,-6,335
01011325,0,417
01011325,0,718
01011325,14,487
01011325,18,180
01011325,2,389
01011325,27,647
01011325,3,440
01011325,56,361
01011326,-3,180
01011327,6,478
01011328,11,342
01011328,12,304
01011329,5,345
01011330,-1,239
01011330,-17,1107
01011330,-2,393
01011330,-2,395
01011330,-3,1020
01011330,-3,337
01011330,-4,224
01011330,-5,371
01011330,-5,588
01011330,0,480
01011330,0,646
01011330,2,236
01011330,22,367
01011330,3,444
01011330,5,328
01011332,27,1093
01011333,-5,1137
01011334,31,344
01011334,40,303
01011335,-4,281
01011335,0,1107
01011335,0,187
01011335,0,325
01011335,1,328
01011335,6,460
01011337,2,359
01011340,-15,229
01011340,-2,451
01011340,-7,319
01011340,-9,223
01011340,0,293
01011340,0,737
01011340,10,544
01011340,2,258
01011340,2,279
01011343,0,462
01011343,27,181
01011343,6,256
01011343,7,273
01011344,20,307
01011345,-1,328
01011345,-10,1090
01011345,-10,2106
01011345,-10,303
01011345,-2,373
01011345,-50,1987
01011345,14,370
01011345,20,368
01011345,20,677
01011349,7,325
01011350,-5,562
01011350,10,335
01011350,12,447
01011350,2,188
01011350,6,276
01011350,7,236
01011352,-5,611
01011352,14,197
01011352,24,417
01011353,-4,1140
01011353,17,407
01011354,20,313
01011355,-1,1363
01011355,0,332
01011355,10,496
01011355,10,611
01011355,14,448
01011355,19,361
01011355,4,534
01011355,5,197
01011357,25,337
01011357,5,1333
01011358,10,373
01011359,5,390
01011400,-1,239
01011400,-15,869
01011400,-2,361
01011400,-4,451
01011400,-5,803
01011400,-7,453
01011400,0,192
01011400,1,304
01011400,13,248
01011400,14,293
01011400,2,491
01011400,32,671
01011400,9,616
01011401,20,562
01011403,-15,1166
01011403,14,714
01011404,0,239
01011405,-1,303
01011405,-10,907
